SK_ID_CURR,TARGET
100001,0.04582149
100005,0.090862796
100013,0.026217176
100028,0.04669292
100038,0.13902962
100042,0.03890241
100057,0.020687517
100065,0.04299143
100066,0.015240682
100067,0.08019435
100074,0.078273706
100090,0.05183753
100091,0.17923464
100092,0.080049306
100106,0.07616111
100107,0.10671164
100109,0.06718445
100117,0.033508267
100128,0.08773839
100141,0.024168504
100150,0.01827646
100168,0.012353059
100169,0.030149363
100170,0.06800895
100171,0.04757911
100172,0.1009729
100184,0.060157042
100187,0.060399894
100212,0.07241544
100222,0.060765274
100223,0.02521284
100232,0.019346045
100241,0.18128046
100245,0.029030636
100253,0.022017824
100256,0.062287312
100271,0.011162505
100278,0.2421799
100280,0.011032892
100306,0.2084674
100311,0.17243597
100312,0.038860247
100330,0.12515813
100331,0.04160735
100352,0.09148333
100358,0.06610092
100367,0.040223435
100382,0.20261428
100384,0.06121722
100385,0.08438276
100386,0.044222124
100399,0.027884193
100404,0.09252698
100416,0.024252422
100422,0.097932845
100426,0.033765726
100438,0.0447456
100444,0.1428326
100445,0.16714361
100446,0.07027809
100447,0.021204803
100450,0.050657198
100466,0.025240835
100483,0.026160356
100484,0.023861831
100494,0.07385575
100510,0.20686682
100512,0.018229615
100517,0.03410619
100548,0.037682
100551,0.03506596
100552,0.08516448
100553,0.027415672
100561,0.07527911
100568,0.42869693
100569,0.03475935
100591,0.06318477
100592,0.0223169
100602,0.10006177
100607,0.057453513
100613,0.072021775
100617,0.14815341
100618,0.06897946
100622,0.06012561
100625,0.17681347
100677,0.1831382
100699,0.04196752
100702,0.38878512
100711,0.05823242
100729,0.12993583
100740,0.23617268
100744,0.16046986
100745,0.055693485
100747,0.10264216
100751,0.34624287
100752,0.07697212
100753,0.29753235
100754,0.22652687
100760,0.051972903
100762,0.1050161
100763,0.070270166
100765,0.016827984
100770,0.06590486
100772,0.02316983
100777,0.033626635
100791,0.028247062
100792,0.018817928
100797,0.022271328
100823,0.032440722
100826,0.033984605
100830,0.034549665
100836,0.28888026
100872,0.07926788
100910,0.049282905
100913,0.15543108
100918,0.040019136
100931,0.018953398
100952,0.05473539
100953,0.051299043
100965,0.2087056
100970,0.037100792
100982,0.14091446
100983,0.27122563
100984,0.052745245
100987,0.056066383
100997,0.06383355
100998,0.12764265
101002,0.09511626
101005,0.17154332
101008,0.24807222
101020,0.08829234
101021,0.030427625
101024,0.085349694
101025,0.12178017
101026,0.04604431
101031,0.024142278
101041,0.021248354
101051,0.020301262
101055,0.09832811
101056,0.29688725
101057,0.042676
101064,0.034055833
101079,0.11449403
101087,0.037157845
101090,0.03356433
101092,0.09600032
101097,0.11980232
101099,0.01748548
101107,0.11076295
101118,0.06688688
101125,0.07690786
101126,0.027114047
101128,0.017103352
101136,0.09080119
101140,0.17333856
101149,0.14166962
101160,0.07366758
101169,0.23017085
101181,0.03653626
101186,0.02819874
101190,0.11172626
101193,0.08903593
101194,0.13179116
101198,0.16391279
101200,0.041667145
101204,0.04113424
101211,0.048618365
101213,0.10678157
101223,0.051156998
101225,0.104497045
101237,0.12661293
101243,0.06536302
101244,0.12107611
101258,0.039124057
101259,0.200937
101268,0.11404118
101269,0.020424789
101271,0.10631644
101279,0.055358347
101281,0.100385666
101287,0.047533404
101292,0.041627567
101294,0.0355804
101296,0.084048025
101297,0.026684012
101299,0.029802082
101301,0.046678554
101305,0.10498863
101308,0.19179791
101318,0.020645825
101327,0.29196027
101329,0.030606786
101332,0.045462467
101337,0.06188753
101343,0.026449298
101345,0.01817526
101346,0.01733078
101353,0.018683087
101354,0.10101273
101355,0.18222876
101356,0.02249231
101362,0.06822893
101363,0.36186704
101365,0.027122306
101366,0.13267522
101367,0.12114905
101368,0.014681812
